cod_prod_lj;cod_loja;cod_produto;ref_varejista;dia;semana;mes;decr_mes;trimestre;ano;periodo;periodo2;valor;quantidade;indicador3
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;95.46;4;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;143.94;6;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;382.34;16;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;142.44;6;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;123.95;5;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;212.91;9;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;140.94;6;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;215.91;9;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;321.47;13;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;160.93;7;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;198.32;8;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;74.37;3;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;98.36;4;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;47.98;2;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;263.39;11;
;71029;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;46.48;2;
;7102;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;85.96;4;
;7104;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;171.92;8;
;7105;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;197.91;9;
;7107;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;150.43;7;
;7109;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;131.94;6;
;71010;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;1138.97;53;
;71011;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;193.41;9;
;71012;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;615.72;28;
;71014;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;365.33;17;
;71016;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;150.43;7;
;71017;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;601.72;28;
;71018;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;593.73;27;
;71019;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;109.95;5;
;71020;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;257.88;12;
;71021;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;263.88;12;
;71022;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;351.84;16;
;71023;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;398.46;18;
;71024;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;439.8;20;
;71025;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;128.94;6;
;71026;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;314.85;15;
;71027;7;BISTEK;2023-01-01;;JAN;01-JAN;;2023;;;881.58;42;
